2020-10-17T00:15:33.581760;AP1;08:62:66:bd:8c:98;-89;ASUSTek COMPUTER INC.;STINKTEL-449B
2020-10-17T00:15:34.109703;AP1;e4:3e:d7:d4:ea:1c;-70;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:36.670245;AP1;e4:3e:d7:d4:ea:1c;-70;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:37.796746;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:38.820883;AP1;e4:3e:d7:d4:ea:1c;-70;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:39.025707;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:39.128182;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:40.152211;AP1;e4:3e:d7:d4:ea:1c;-70;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:40.764827;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:40.869093;AP1;e4:3e:d7:d4:ea:1c;-70;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:41.381253;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:43.839518;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:44.043780;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:45.272709;AP1;e4:3e:d7:d4:ea:1c;-70;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:45.579958;AP1;e4:3e:d7:d4:ea:1c;-70;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:45.681751;AP1;e4:3e:d7:d4:ea:1c;-70;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:47.424680;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:47.525587;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:15:47.628101;AP1;e4:3e:d7:d4:ea:1c;-70;Arcadyan Corporation;SINGTEL-EA1A
